DATE,USER_TEXTS
2023-05-02,hi i am not well my friends are not even listening to me .i am angry and so pissed off right now i dont have any friend i feel this way byee byee
2023-05-03,hi i am sad i dont feel loved bye i am goof byee byee hi i am sad
2023-05-04,HIi am not liking this weather yes any other joke i am not well i don't know its just this feeling i just don't feel loved u are the best bye bye
2023-05-05,hi how are you i am sad i lost my job bye
2023-05-05,hi how are you good i am happy  igot a car why i am going out with my friends yes bye
2023-05-05,whats your name ohh we are friends ohh u know my name  am ananya no  bye
2023-05-05,u are my friend okay  bye
2023-05-05,we are friends
2023-05-05,i am happy
2023-05-06,hi
2023-05-06,how are you
2023-05-06,i am sad
2023-05-06,i lost my job
2023-05-06,nobody loves me
2023-05-06,hi
2023-05-06,i am happy today
2023-05-06,i am going out with my friends
2023-05-06,a joke
2023-05-06,hi
2023-05-06,hi bye
2023-05-06,how are you
2023-05-07,hi
2023-05-07,how are you
2023-05-07,i going out 
2023-05-07,hi how are you i going out  bye
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,i am going out with my friend 
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,hi
2023-05-07,i am going out with my friends
2023-05-07,what is your name
2023-05-07,a joke
2023-05-07,hi
2023-05-08,hi
2023-05-08,hi
2023-05-08,hi
2023-05-08,HI
2023-05-08,HI bye
2023-05-08,hi
2023-05-08,hi
2023-05-08,how are you
2023-05-08,hi how are you bye
2023-05-08,hi i am sad i donot know bye
2023-05-08,hi .how are you.i am having fun.tell me a joke.bye
2023-05-08,Hi.i am having fun.you are my friend.bye
2023-05-08,hi.you are my friend.i want to talk.i wanna talk.bye .bye
2023-05-08,joke.more.more joke.bye
2023-05-08,bye
2023-05-09,hi.how are you.bye
2023-05-09,hi.i am happy.bye .bye
2023-05-09,hi.bye
2023-05-09,hi.how are you.i am sad .bye
2023-05-09,hi.i am sad.bye .bye
2023-05-09,hi.i am sad.bye
2023-05-09,hi.i am sad.bye
2023-05-09,hi.i am sad.yes.bye
2023-05-09,hi.i am happy.bye
2023-05-09,hi.i am happy .bye
2023-05-09,hi.bye
2023-05-09,hi.i am sad.hi.HI.JI.HI.HI.hi.hi.hi.hi.hi.bye
2023-05-09,hi.i am sad.hi.HI.JI.HI.HI.hi.bye
2023-05-09,hi.i am going out with my friend.no body loves me .bye
2023-05-09,bye
2023-05-09,i am a dog.you bitch.you shut up.who.so what do i do of your name.shut up.bad.you vent.byee.bye
2023-05-09,hii.i want to commit murder sould i?.how u doing ?.me too.i have appearance problems.how should i deal with relationship problems.i feel very overwhelmed.i would like relief techniques.bye
2023-05-09,bye
2023-05-09,hi.i have realtionship problems.i have relationship problems.bye
2023-05-09,hi.how are you.bye
2023-05-09,hi.bye
2023-05-09,hi.bye
2023-05-09,hi.bye
2023-05-09,bye
2023-05-09,hi.how are you.bye
2023-05-09,hi.bye
2023-05-10,hi.bye
2023-07-25,HI.BYE
2023-07-26,hi.how are you.bye
2023-07-26,hi.bye
